餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
晤子咖啡,2018年/3月,花蓮,花蓮市建中街11號,,03-8330902,每人平均價位：230,
痣男,107年/12月,花蓮,花蓮縣花蓮市明義街75號,平假日15:00-00:00(公休日請參考粉專),,,
涮乃葉SYABU-YO/花蓮遠百店,106年/11月,花蓮,花蓮縣花蓮市和平路581號,平假日11:00-22:00,03-8316662,,
米噹泰式碳烤,2017年/10月,花蓮,花蓮縣花蓮市重慶路221-2號,週二公休，每日18：00-01：00,03 835 7031,,
耕壽司,2018年/1月,花蓮,花蓮市新港街23號,,03-8321663,每人平均價位：251,
奇幻地咖啡館,2017年/10月,花蓮,花蓮市和平路597號2樓,,03-8321883,每人平均價位：250,
三嘉一釣蝦場,107年/1月,花蓮,花蓮縣花蓮市南濱路32號,平日16:00-01:00 假日12:00-01:00,03-8346313,,
三美堂,106年/12月,花蓮,花蓮縣花蓮市林森路305巷6號,14:00-18:00(週一.二.日公休),03-8327323,,
丸張羊肉爐,106年/11月,花蓮,花蓮縣新城鄉嘉南路12號,平假日17:00-02:00,03-8221598,,
Monsters泰式炒冰,106年/12月,花蓮,花蓮縣吉安鄉建國路368號,平假日13:00-23:00(週三公休),0976-074797,,
游翁韭菜臭豆腐,107年/1月,花蓮,花蓮縣鳳林鎮中正路二段20號,平假日13:30-21:30,03-8763469,,
藍色小山歐義廚房,2017/10,花蓮,花蓮縣玉里鎮光復路156號,11:00-14:30；17:00-21:00（周一公休）,03-888-5385,,
家咖哩,106年/12月/3日,花蓮,花蓮市中美路106號,11:00-15:00、17:00-21:00,03-834-3290,,
孫叔叔帶骨牛肉麵,107年/月1,花蓮,花蓮縣鳳林鎮林榮路127號,,03-8771258,,
Joy廚房,2017年/8月,花蓮,花蓮市博愛街242號,,03-8328708,每人平均價位：300,
三美堂（已停業）,2017/12,花蓮,花蓮縣花蓮市林森路305巷6號,周三至周六14:00-18:00,,,
大禹街龍鳳腿,2017年/10月,花蓮,花蓮市大禹街75號,15:00~19:00,0912-520-518,,
青輕慢食,106年/11月,花蓮,花蓮縣鳳林鎮信義路255號,平假日11:30-19:00(週日公休),03-8760809,,
半個鍋個人火烤兩吃,106年/10月,花蓮,花蓮縣花蓮市中正路179號,中午11:00-14:00 晚間17:00-22:00,03-8342111,,
拍手叫好小火鍋,107年/1月,花蓮,花蓮縣花蓮市中原路656號,中午11:30-14:00 晚間17:30-20:30,03-8315876,,
Fukuro珈琲屋,2017年/8月,花蓮,花蓮市南京街288號,,0912-523621,每人平均價位：250,
花蓮新港街68號無名早餐,2017年/10月,花蓮,花蓮縣花蓮市新港街68號,06:00 - 11:30,無,,
獵人廚房,2017年/8月,花蓮,花蓮縣花蓮市東興二街28巷13號,"11:30-14:30、17:30-20:00(週三,週四公休)",0916282350,,
泰泰廚房,106年/9月,花蓮,花蓮縣花蓮市中福路9號,中午11:00-14:00 晚間17:00-21:00 (週四公休),03-8311822,,
豆號,2018年/1月,花蓮,花蓮市和平路440號,7:30-15:00,03-8310839,,
好厝邊古早味早午餐,2018年/02月,花蓮,花蓮縣吉安鄉自強路147號,週一~週日早上5:30-下午1:30,092-1146-831,,
泰饗泰式料理,106年/12月,花蓮,花蓮縣花蓮市林森路161號,中午11:30-14:00 晚間17:30-21:00(週三公休),03-8353188,,
車頭虱目魚專賣店,106年/12月,花蓮,花蓮縣花蓮市國聯三路6號,平假日10:00-22:00(週四公休),03-8357816,,
奇幻地咖啡館,2018/1月,花蓮,花蓮市和平路597號2樓,,03-8321883,每人平均價位：250,
樹林尾客家料理,107年/1月,花蓮,花蓮縣鳳林鎮中正路二段41號,平假日06:00-14:00,0928-569958,,
森山舍,2017年/8月,花蓮,花蓮市林政街10號,,03-8351987,每人平均價位：350,
長泰滇緬料理,107年/2月,花蓮,花蓮縣花蓮市中山路381號,中午11:00-14:00 晚間17:00-21:00(週二公休),03-8351362,,
彩虹驛站,107年/1月,花蓮,花蓮縣花蓮市信義街36-5號1樓,中午11:00-14:00 晚間17:00-20:00(週一公休),03-8355770,,
阿貝廚房Arbay,106年/11月,花蓮,花蓮縣花蓮市自由街120號,平假日11:00-21:00(週四公休),粉專可接受預約訂位,,
10分之1海鮮燒烤,106年/9月,花蓮,花蓮縣壽豐鄉鹽寮村鹽寮101號,平日18:30-21:30 假日11:30-21:30,0989-501876,,
小和農村 Peaceful Village,2017年/10月,花蓮,花蓮縣壽豐鄉平和一街119號,不定期變動，基本上是早上10點到下午四點，請於FB查詢詳細資訊,0988 166 951,,
林記明禮路蔥油餅,2017/10,花蓮,花蓮縣花蓮市明禮路18-3號,13:00-18:30,0965-006-589,,
小和山谷,106年/10月,花蓮,花蓮縣壽豐鄉壽文路43號,平假日14:00-22:00(週三四公休),03-8655172,,
啄木鳥的家casa+,106年/12月,花蓮,花蓮縣光復鄉大進街糖廠街11巷1號,中午11:30-15:00 晚間17:30-20:00,03-8706700,,
火車頭道地美式烤肉屋,2018年/2月,花蓮,花蓮市中山路147號,,03-8332592,每人平均價位：350,
向陽茶鋪,2017年/07月,花蓮,花蓮縣吉安鄉山邊136-1號,,,,
小和農村,106年/12月,花蓮,花蓮縣壽豐鄉平和村平和一街119號,假日10:00-16:00 (週一至四公休),0988-166951,,
拙而奇藝術空間咖啡館,106年/9月,花蓮,花蓮縣豐濱鄉石梯灣3號,平假日13:00-17:00(週一公休),03-8781616,,
芝麻開門,2017年/10月,花蓮,花蓮縣花蓮市博愛街138號,每日 11 : 30 – 14 : 00 ； 17 : 30 – 21 : 00,( 03 ) 8346 - 659,,
泰巷時光,107年/1月,花蓮,花蓮縣新城鄉新城村博愛路11號,,0903-020712,,
阿桂油飯,2017年/07月,花蓮,花蓮縣花蓮市中山路475-5號,,,,
Arbay阿貝廚坊,2017年/9月,花蓮,花蓮市自由街120號,,無,每人平均價位：210,
1913歇心,2018年/2月,花蓮,花蓮市中華路144號,,03-8313777,每人平均價位：120,
地6攤牛排/仁里店,107年/1月,花蓮,花蓮縣吉安鄉中正路一段91號,平假日17:00-22:30 (週三公休),0984-099901,,
泰瘋隨意料理,2017年/10月,花蓮,花蓮縣壽豐鄉福德街39號,11:30-21:00(三公休),0926-095-055,,
老滷十三香,107年/3月,花蓮,花蓮縣花蓮市博愛街159巷12號,中午11:30-20:00(週四公休),0929-557711,,
珍妹紅麴豬腳客家美食,106年/12月,花蓮,花蓮縣鳳林鎮長橋里長橋路108號,平假日11:30-19:00(週四公休),03-8751899,,
芳草古樹花園,106年/10月,花蓮,花蓮縣鳳林鎮中和路71號,中午10:00-14:00 晚間17:00-20:00,03-8760437,,
一碗小,2017年/10月,花蓮,花蓮縣花蓮市明禮路14巷1號,週三公休，每日11：00-14：00，17：00-20：00,03 832 3110,,
茂記小吃店,107年/2月,花蓮,花蓮縣鳳林鎮中和路190號,平假日05:30-14:00 (週日公休),03-8763613,,
鄉村小屋2,106年/12月,花蓮,花蓮縣鳳林鎮中正路一段357號,,03-8762539,,
小房子涼水鋪,107年/1月,花蓮,花蓮縣花蓮市和平路247號,平假日14:00-21:00 (週日公休),03-8315876,,
問鼎,2017年/10月,花蓮,花蓮市中山路549-1號,11:00-23:00,03-8325282,,
少爺丼飯,106年/12月,花蓮,花蓮縣壽豐鄉志光街1號,中午11:00-14:00 晚間16:00-19:00(週日公休),03-8663903,,
193美式酒餐館,2018/2月,花蓮,花蓮縣花蓮市仁愛街129號,18:00 - 01:00  (禮拜一20:30才營業),03-831-1022,,
巨林美而美,2017年/07月,花蓮,花蓮縣花蓮市公園路7號,,,,
九福餡餅粥,106年/12月/2日,花蓮,花蓮縣花蓮市中山路120號,11:00-14:00、17:00-20:00,03-835-7219,,
牛蕃茄小火鍋,106年/10月,花蓮,花蓮縣花蓮市國聯五路2-13號,中午11:30-14:30 晚間17:30-21:30,03-8326623,,
站前無名麵店/慢半拍,106年/12月,花蓮,花蓮縣鳳林鎮中山路17號,平假日11:00-00:00,03-8761528,,
胖老爹美式炸雞/建國店,107年/1月,花蓮,花蓮縣吉安鄉建國路一段142號,平假日15:00-23:00(週一公休),03-8567560,,
花現森林複合茶鋪,106年/10月,花蓮,花蓮縣花蓮市林森路68號,平假日11:00-22:30,03-8310701,,
鵝肉先生(中山店),106年/12月/2日,花蓮,花蓮縣花蓮市中山路259號,11:00-24:30,03-833-1902,,
傳統美食玉里麵,2016/8,花蓮,花蓮縣玉里鎮中山路二段94號,08:00~17:00,03-8881613,,
海珍寶餐廳,107年/8月,綠島,台東縣綠島鄉公館村25-2號,平假日10:30-21:30,089-672310,,
綠島風味情餐廳,107年/8月,綠島,台東縣綠島鄉漁港路16-3號,中午11:30-14:30 晚間17:30-20:00,089-671218,,
海邊坐坐Seaside,107年/8月,綠島,台東縣綠島鄉公館村67號,中午11:00-14:00 晚間18:00-22:30,0983-724268,,
郵局口蔥油餅,107年6月,澎湖,澎湖縣馬公市惠民一路36號,14:00~18:00左右，售完將提早結束營業,,每人平均價位：NT35元,
楊媽媽韭菜盒,2018.04,澎湖,澎湖縣馬公市民權路89-1號,14:00~20:00(星期天公休),0918-316-545,,
案山乾麵,2018年/4月,澎湖,澎湖縣馬公市經國路153號,,無提供,,
麗洋手作伴手禮,2018.04,澎湖,澎湖縣馬公市中央街6號,10:00~21:00(四~二)；09:00~12:00(三),06-926-7707,,
牛霸王牛肉麵,2018.04,澎湖,澎湖縣馬公市民權路61號,10:30~19:30(牛肉賣完為止),06-926-9067,,
肉餅、韭菜盒,2018年6月,澎湖,澎湖縣馬公市鎖港里452號,約每日下午兩點開始營業，公休不定時,無,,
七美越南大骨湯麵,107年6月,澎湖,澎湖縣七美鄉南港村南滬崎頭四鄰5號,09:30~20:30,,每人平均價位：NT100~150元,
郵局口蔥油餅惠民店,2018.04,澎湖,澎湖縣馬公市惠民一路36號,08:30~18:15(星期天公休),,每人平均價位：35元,
福台排骨麵,2018.04,澎湖,澎湖縣馬公市民族路40號,14:50~23:00,06-927-3397,,
永盛牛肉之家,2018年/2月,桃園,桃園市龍潭區大昌路二段106號,"10:00-14:00, 17:00-20:30",03-4897919,,
Mr. Word 沃德先生烘焙餐館,2017年/11月,桃園,桃園市中壢區光明里光輝二街29號,每日 11:00~22:00,(03) 281-1100,,
香港仔港式燒臘/粉麵/廣東粥,2017年/12月,桃園,桃園市桃園區大德二街1巷1號(店面在大興路上),應該是午晚餐時段,03-3466601,,
大江屋客家美食館,2018年2月,桃園,桃園市龍潭區大北坑街1998巷65號,"11:00–14:30, 17:00–21:30",03-479-4547,,
北方,2017年/10月,桃園,桃園市桃園區大有路638號（店家無門牌）,"10:00-20:30, 週一公休",03-3573826,,
＋果便當廚房,2017年/9月,桃園,桃園市平鎮區文化街116號（文化國小對面）,應該是午晚餐時段,"03-4952677, 0981-705866",,
Mumu 小倫敦,2017年/10月,桃園,桃園市桃園區中埔二街182號,平日週一至週五 9:30-21:00 /  假日 國訂假日 9:30-18:00,03-2160851,,
 辣妹子滷味,2018.03,桃園,桃園市桃園區同安街442號,18:30~00:00(星期四公休),0933-252-405,,
寶島麵線站/木木秧咖啡,2018年/1月,桃園,桃園市八德區介壽路二段382號/桃園市大溪區慈光街128號,06:00-22:00(無公休)/10:00-20:00(周一休),03-2184624/03-3805371,,
七分醉,2017/9,桃園,桃園市龍潭區楊銅路二段570之1號,16:30-2:00（五六日營業至3:00）,03-480-6166,,
味之時計台,2017.10,桃園,桃園市中壢區中園路二段501號四樓,11:00~22:00(一~五)；10:30~22:00(六日),03-468-0792,,
Molino 手工義大利麵工場,2017.12,桃園,桃園市中壢區中園路二段501號GBF,11:00–22:30(五、六)；11:00~22:00(日~四),03-468-0838,,
銀河鐵道咖啡,2018年/2月,桃園,桃園市蘆竹區仁愛路三段580號,14:00-1:00(周三公休) 國定假期正常營業 公休順延一天,0976 068 262,,
花果好日,2017年/10月,桃園,桃園市中壢區大仁四街,應該夜市時間都會開啦，官方粉絲團偶爾宣告當日休息。,0975 - 003507,,
老袁牛肉麵,106年/12月,桃園,桃園市桃園區中華路82號,9:30~20:00,03-3376175,,
丹宅dan's home cuisine,2017年/1月,桃園,330桃園市桃園區園二街48號,11:30–22:00,(03)3321067,,
CERRO希羅精品咖啡,2017年/08月,桃園,桃園市桃園區同德五街218號,10:00~19:00 每週四公休,03-3020401,,
點水樓,2017年11月,桃園,桃園市蘆竹區中正路1號5樓,"11:00-14:30,17:30-22:00",032227979,,
呂媽媽手工豆花,2017年/12月,桃園,桃園市大溪區和平路35號(和平路與中央路交叉口),周六、日及例假日10:00~售完為止,03-3883457,,
可口涼麵,2017/12,桃園,桃園市桃園區長春路69號,07:00~17:00,03-336-8923,,
四海豆漿,2018年/2月,桃園,桃園市楊梅區大成路與大華街口（第二市場外）,早餐時段確定有,,,
牛角次男坊 JinanBou,2017.11,桃園,桃園市蘆竹區南崁路一段112號5樓,11:00–21:00,03-334-1234,,
甕仔麵 煨湯館,2017年/11月,桃園,桃園市楊梅區中山北路二段376號,平日11:00~14:00 16:00~21:00 假日 中午不休息 週二公休,03-482-2222,,
WakeWake醒醒工作室,2017年/10月,桃園,桃園市楊梅區四維路29號,11：00-18：00(正式營業時間以官方FB公告為主),,每人平均價位：80-220元,
隨意麵坊,2017年/9月,桃園,桃園市中壢區新中北路248巷11號,應該是午晚餐時段,03-4562989,,
鬍子叔叔義麵工坊,2017年11月,桃園,桃園市龜山區文化三路108號,11:00-15:00  17:00-21:00,03)328-7438,,
林家便當,2017年/10月,桃園,桃園市平鎮區民族路二段83號,"10:00-14:00, 16:00-20:00, 週日公休",03-4925678,,
大鬍子米干,2018 年/ 2 月,桃園,桃園市中壢區龍平路173號,05:30~12:00(賣完為止),略,,
輕食煮藝素食自助餐,2018年1月,桃園,桃園市中壢區中央東路61號,上午十點半至下午一點半，下午四點半至晚上八點,03-4260222,,
京鑽鹹酥雞串烤,2017年/10月,桃園,桃園市平鎮區振興路36號,晚上，週一公休,0928-210602,,
PAN MALLETTE COFFEE 胖馬樂,2018年/3月,桃園,桃園市中壢區九和六街1號,"09:00-17:30, 週一公休",03-4224966,,
第三航廈,2017年/12月,桃園,桃園市大園區埔心里海豐坡15鄰6-3號,,03 381 6699,,
無店名,2018年/2月,桃園,桃園市楊梅區大華街28號對面小攤（區公所牆邊）,早上六點確定有,,,
百鮮鹹酥雞,2017年/11月,桃園,桃園市平鎮區金陵路73號,應該是晚上,,,
wakewake醒醒工作室,2017年/12月,桃園,桃園市楊梅區四維路29號,週一至週四，14:00~18:00  週六至週日，11:00~18:00,,每人平均價位：200~400,
參匠居酒屋,2018年/3月,桃園,桃園縣中壢市中央西路二段120之5號,每日 06:00~02:00,(03) 493-0741,,
151高地景觀咖啡,2017年/10月,桃園,桃園市蘆竹區山腳村7鄰81-7號,,(03) 324-1219,,
懷念煎包,2018年/2月,桃園,桃園市桃園區大業路二段148號前小攤,應該是早餐時段,,,
波拉廣場,2017 年/11月,桃園,桃園市桃園區南平路478號,8:00-19:30,0908407300,,
廣式牛肉麵,2018年/3月,桃園,桃園市桃園區民富十一街48號,"11:00-14:00, 17:00-20:00",03-3460938,,
安賀斯cafe,2018年/1月,桃園,桃園市楊梅區新農街282號,11:00-21:00,03-4881653,,
國旗屋雲南米線.米干,107年/2月,桃園,桃園市中壢區龍平路215號,平日05:00-14:30 假日05:00-19:00(週四公休),03-4666879,,
麵屋勝八,2017年/10月,桃園,桃園市龜山區復興一路62號,12:00~完售  18:00~完售,03-3960183,,
Indonesia Wati Halal Food,2017年/10月,桃園,桃園市中壢區龍東路255巷50號,10:00-13:00,03-4378391,,
喵日子café,2017年/06月,桃園,桃園市桃園區大興西路二段139巷32號1樓,,,,
巧甄快餐,2018年/2月,桃園,桃園市桃園區寶山街217號,"11:00-14:00, 16:30-20:30",03-3564908,,
簡師傅麻辣臭豆腐,2017年/9月(最近一次),桃園,桃園市中壢區新明路101號,17:30 - 00:30,0936-611025,,
乾麵居 & 賴祖傳豆花,2018年/2月,桃園,乾麵居：335桃園市大溪鎮民權東路7號,,乾麵居:03-3870638,,
台南米糕,2017年/12月,桃園,桃園市平鎮區育達路116號,"07:00-13:30, 17:30-20:30, 週日公休",03-4931678,,
陸媽媽菜包,2017年/10月,桃園,桃園市中壢區長春路56號,"06:00-18:00, 週一公休",03-4512808,,
郭鵝肉海產店,2018年/3月,桃園,桃園市新屋區永安村中山西路三段960號,"10:00-14:00, 17:00-20:00, 假日中間不休息, 週一公休",03-4861612,,
曾記老牌水煎包,2018 年/ 02 月,桃園,桃園市中壢區康樂路61號,"06:00–11:00, 14:00–17:30",06:30~14:00(週日公休),,
狎鷗亭銅盤烤肉,2017.12,桃園,桃園市桃園區新埔六街156號,17:30~23:30,0963-636-190,,
丹馬克咖啡,2017 年/7月,桃園,桃園市桃園區新埔六街146-1號,11:00-21:30,(03)358-6589,,
梁家牛肉麵,2017年/10月,桃園,桃園市桃園區大有路658號1樓,11:00-20:20,03-3565238,,
大阪王將,207 年/10 月,桃園,桃園市蘆竹區南崁路1段112號 (台茂購物中心5樓美食街),,(03)222-2096,,
Classic x 沸騰,2017年/12月,桃園,桃園市中壢區大同路56號,1100-2100,03 425 0107,,
藏壽司くら寿司桃園春日店,2017年/9月,桃園,桃園市桃園區春日路618號,,,,
讚香小吃,2017年/11月,桃園,桃園市平鎮區民族路與文化街口,似乎是下午到深夜,,,
大方蘭州麵食館,2018年/3月,桃園,桃園市桃園區大業路一段414號,11:00-21:00,03-3562193,,
日青方好GA flower cafè,2017年2月,桃園,桃園市大興路118號,週一~週日 11:00-20:00,03-3581797,,
江記餛飩(中壢nova店),2017 年/ 11月,桃園,桃園市中壢區民族路20號,07:00~20:30,03-402-9319,,
紅築越食堂,2018年/2月,桃園,桃園市桃園區大興路167號,09:00–21:30,03-3260259,,
綠沐恬拾,2017年/10月,桃園,桃園市中壢區中央西路二段229-1號,13:00~18:00,03-4930581,,
雞師父,2017年/11月,桃園,桃園市平鎮區文化街98-1號,14:00-00:00,"0955-785532, 0970-785532",,
乾杯居酒屋(中壢大江店),2017年/11月,桃園,桃園市中壢區中園路二段501號B1F,11:00-22:00,03-4680189,,
鳥丈炉端燒,2018年/1月,桃園,桃園市中壢區中園路二段501號GB樓（大江購物中心內）,11:00-22:00,03-4681313,,
無店名,2017年/10月,桃園,桃園市中壢區環西路4號外小攤,只賣晚上，似乎晚上七八點開始營業,,,
三郎便當(金陵店),2018 年/ 1 月,桃園,桃園市平鎮區金陵路252之1號,"10:00~14:00, 16:30~19:30(週日公休)",03-284-1047,,
MOLINO,2017年/10月,桃園,桃園市中壢區中園路2段501號GBF,11：00-21：30(週五、週六-22：00),(03)468-0838,,
蛤夏麵,2017年/11月,桃園,桃園市蘆竹區中山路100號,11:00~14:30 16:30~21:00,03-3110787,,
破舍咖啡,2018年/1月,桃園,桃園市中壢區興仁路一段168號,12:00-22:00,0925-191225,,
WakeWake 醒醒工作室,2017年/09月,桃園,桃園市楊梅區四維路29號, 11:00~18:00 (不定期公休),,每人平均價位：250,
三國東風,2017年/12月,桃園,桃園市中壢區中原路16-1號,17:00-00:00,03-4268318,,
忠貞誠米干,2017 年/ 10月,桃園,桃園市中壢區民族路20號,三~五 06:00-13:30六~日 06:00-14:00(週一、二公休),03-465-8818,,
品川蘭,2018年/1月,桃園,桃園市中壢市中華路二段501號（中原家樂福B1）,"11:00-14:30, 17:00-21:00（週五至日中間不休息）",03-4514724,,
POSTMAN,2018年/3月,桃園,桃園市中壢區慈惠一街119號,09:00-20:30,03-4229799,,
蘭亭映月,2018年/2月,桃園,桃園市龍潭區中正路三坑段650-1號,11:30 - 15:00 、 17:30 - 21:00,(03)4711212,,
Mr. May義式料理,2017年/12月,桃園, 桃園市中壢區環中東路626號,"11:00~15:00, 17:00~22:00",03-4622790,,
小樂義好食,2017年/10月,桃園,桃園市桃園區民有五街87號,"11:30-14:30, 17:30-21:00, 週一公休",03-3350210,,
「洪」大腸肉羹麵線/魯肉飯,2017年/12月,桃園,桃園市桃園區大興西路二段106號,05:00-22:00,"03-2150906, 0931-506196",,
森怩家的魔幻廚房,106年/11月,桃園,桃園市大溪區康莊路121號(大溪車站出來右轉2分鐘路程),平日：10：30～19：30 假日：9：30～19：30 星期二只賣漢堡跟早午餐 10?,03-3878186,,
賴媽媽豆花 中正店,2017年/07月,桃園,桃園市大溪區中正路38號,10:00 ~ 20:00（每周二公休）,03-3878951,,
國王起司馬鈴薯,2018.02,桃園,桃園市中壢區實踐路,14:40~00:30,0926-518-108,,
鼎藏湯包/麵食,2017年/11月,桃園,桃園市桃園區大有路596號,"11:00-14:00（六日 14:30）, 17:00-21:00, 週四公休",03-3465589,,
